word,count,category
fatherland,26,13
land,8,13
god,8,13
beloved,8,13
war,7,13
precious,7,13
world,6,13
flag,5,13
bless,5,13
loyalty,4,13
hand,4,13
live,4,13
happiness,4,13
language,4,13
people,4,13
peace,4,13
sacred,3,13
man,3,13
earth,3,13
swear,3,13
freedom,9,2
nation,9,2
flag,7,2
homeland,7,2
son,6,2
world,6,2
sea,6,2
blood,6,2
glorious,5,2
bless,5,2
star,5,2
long,5,2
free,4,2
tear,4,2
forever,4,2
death,4,2
song,4,2
sky,4,2
blue,4,2
love,4,2
land,60,1
free,18,1
father,15,1
love,13,1
protect,13,1
bless,12,1
dear,11,1
people,10,1
give,10,1
peace,10,1
god,9,1
freedom,8,1
mountain,7,1
great,6,1
hope,6,1
glory,6,1
live,6,1
papua,6,1
lord,6,1
africa,6,1
thy,56,17
land,13,17
god,13,17
year,11,17
thousand,10,17
love,9,17
country,9,17
life,8,17
heart,7,17
mother,7,17
homeland,7,17
tear,6,17
glorious,5,17
fatherland,5,17
stand,5,17
peace,5,17
glory,5,17
thrill,5,17
banner,4,17
field,4,17
land,23,10
people,18,10
great,16,10
country,13,10
ancestor,11,10
flag,10,10
free,9,10
love,9,10
die,8,10
hand,8,10
live,7,10
fly,7,10
nation,7,10
world,7,10
glory,6,10
bless,6,10
sacred,6,10
soul,6,10
heart,6,10
ready,6,10
hail,26,15
land,17,15
liberty,15,15
heart,13,15
home,12,15
god,11,15
live,9,15
nation,9,15
glorious,8,15
island,8,15
long,8,15
love,8,15
glory,7,15
die,6,15
free,6,15
helena,6,15
freedom,5,15
king,5,15
law,5,15
thy,5,15
people,21,14
man,8,14
path,7,14
nation,7,14
brother,6,14
struggle,6,14
peace,5,14
island,5,14
independence,5,14
liberty,5,14
sing,5,14
war,4,14
solomon,4,14
land,4,14
progress,4,14
forever,4,14
hope,4,14
revolution,4,14
hymn,4,14
national,4,14
fulfill,16,3
liberty,13,3
thy,9,3
hail,8,3
die,7,3
grave,6,3
shout,6,3
freedom,6,3
beloved,6,3
homeland,6,3
glory,6,3
oriental,6,3
nation,6,3
vow,6,3
souls,6,3
pronounce,6,3
heroically,6,3
light,5,3
art,5,3
thine,4,3
arm,28,8
glory,20,8
people,14,8
fatherland,13,8
warrior,13,8
fight,13,8
land,13,8
free,13,8
soldier,12,8
blood,11,8
rise,10,8
great,9,8
tyrant,9,8
hero,9,8
world,9,8
death,9,8
child,8,8
hear,8,8
liberty,8,8
victory,8,8
people,13,4
break,13,4
light,11,4
vow,11,4
homeland,10,4
solemn,10,4
lift,9,4
eternal,9,4
free,8,4
long,7,4
unity,6,4
respect,6,4
sun,5,4
time,5,4
freedom,5,4
nation,5,4
africa,5,4
virtue,4,4
cry,4,4
shake,4,4
country,29,6
live,26,6
glory,25,6
homeland,23,6
flag,19,6
long,15,6
god,14,6
witness,13,6
world,8,6
king,8,6
light,7,6
die,7,6
land,6,6
fatherland,6,6
life,6,6
great,6,6
eternal,6,6
make,5,6
give,5,6
people,5,6
god,19,12
land,17,12
thy,15,12
lord,13,12
save,11,12
love,10,12
queen,9,12
fair,8,12
make,7,12
country,7,12
hill,6,12
good,6,12
people,6,12
peace,5,12
son,5,12
gift,5,12
give,5,12
sing,5,12
heart,5,12
thine,5,12
salute,18,5
mother,8,5
good,4,5
lanka,4,5
worship,4,5
bright,3,5
love,3,5
freedom,3,5
dawn,2,5
unity,2,5
homeland,2,5
bear,2,5
voice,2,5
ocean,2,5
eternal,2,5
mighty,2,5
victory,2,5
honour,2,5
nation,2,5
auspicious,2,5
die,16,7
freedom,16,7
people,13,7
sing,12,7
slave,12,7
live,12,7
rise,10,7
happiness,9,7
homeland,8,7
unity,8,7
arise,7,7
fight,6,7
song,6,7
honour,6,7
day,6,7
great,6,7
work,6,7
love,6,7
unite,6,7
proud,6,7
bless,14,9
free,13,9
land,11,9
god,8,9
oer,7,9
praise,7,9
home,6,9
africa,6,9
nation,4,9
long,4,9
starspangled,4,9
banner,4,9
wave,4,9
brave,4,9
freedom,4,9
strong,4,9
war,3,9
men,3,9
stand,3,9
peace,3,9
god,28,11
nation,26,11
stand,23,11
land,22,11
true,16,11
people,15,11
defend,15,11
guard,14,11
great,14,11
peace,14,11
love,13,11
free,13,11
thy,12,11
make,12,11
bless,10,11
unity,10,11
country,10,11
fill,10,11
strong,9,11
live,9,11
sun,10,0
swear,7,0
sky,6,0
sea,5,0
land,4,0
rise,4,0
light,4,0
time,4,0
spirit,4,0
borinquen,2,0
bear,2,0
wave,2,0
daughter,2,0
lift,2,0
head,2,0
march,2,0
high,2,0
road,2,0
lead,2,0
eye,2,0
arise,19,16
flag,10,16
march,8,16
freedom,7,16
great,6,16
star,5,16
god,5,16
people,5,16
raise,4,16
crown,4,16
blood,4,16
heart,4,16
brave,4,16
gunfire,4,16
wave,3,16
forever,3,16
bear,3,16
future,3,16
sky,3,16
foundation,2,16
